title	author	filename	pubyear	sources
Liebe und Irrthum	Heinrich Clauren	clauren_liebe_1827.txt	1827.0	https://www.deutschestextarchiv.de/book/show/clauren_liebe_1827
Urika, die Negerin	Claire de Durfort de Duras	duras_urika_1824.txt	1824	https://www.deutschestextarchiv.de/book/show/duras_urika_1824
Virginia oder die Kolonie von Kentucky. Teil 1	Henriette Frölich	froelich_virginia01_1820.txt	1820	https://www.deutschestextarchiv.de/book/show/froelich_virginia01_1820
Virginia oder die Kolonie von Kentucky. Teil 2	Henriette Frölich	froelich_virginia02_1820.txt	1820	https://www.deutschestextarchiv.de/book/show/froelich_virginia02_1820
Reisebilder. Teil 1	Heinrich Heine	heine_reisebild01_1826.txt	1826.0	https://www.deutschestextarchiv.de/book/show/heine_reisebilder01_1826
Reisebilder. Teil 2	Heinrich Heine	heine_reisebild02_1827.txt	1827.0	https://www.deutschestextarchiv.de/book/show/heine_reisebilder02_1827
Reisebilder. Teil 3	Heinrich Heine	heine_reisebild03_1830.txt	1830	https://www.deutschestextarchiv.de/book/show/heine_reisebilder03_1830
Reisebilder. Teil 4	Heinrich Heine	heine_reisebild04_1831.txt	1831	https://www.deutschestextarchiv.de/book/show/heine_reisebilder04_1831
Ardinghello und die glückseeligen Inseln. Teil 1	Wilhelm Heinse	heinse_ardinghello01_1787.txt	1787	https://www.deutschestextarchiv.de/book/show/heinse_ardinghello01_1787
Ardinghello und die glückseeligen Inseln. Teil 2	Wilhelm Heinse	heinse_ardinghello02_1787.txt	1787	https://www.deutschestextarchiv.de/book/show/heinse_ardinghello02_1787
Meister Floh	E.T.A. Hoffmann	hoffmann_floh_1822.txt	1822	https://www.deutschestextarchiv.de/book/show/hoffmann_floh_1822
Bemerkungen über Holland aus dem Reisejournal einer deutschen Frau	Therese Huber	huber_reisejournal_1811.txt	1811.0	https://www.deutschestextarchiv.de/book/show/huber_reisejournal_1811
Münchhausen. Bd. 1	Karl Immermann	immermann_muenchhausen01_1838.txt	1838	https://www.deutschestextarchiv.de/book/show/immermann_muenchhausen01_1838
Münchhausen. Bd. 2	Karl Immermann	immermann_muenchhausen02_1838.txt	1838	https://www.deutschestextarchiv.de/book/show/immermann_muenchhausen02_1839
Münchhausen. Bd. 3	Karl Immermann	immermann_muenchhausen03_1838.txt	1838	https://www.deutschestextarchiv.de/book/show/immermann_muenchhausen03_1839
Münchhausen. Bd. 4	Karl Immermann	immermann_muenchhausen04_1838.txt	1838	https://www.deutschestextarchiv.de/book/show/immermann_muenchhausen04_1839
Briefe über Zustände und Begebenheiten in der Türkei aus den Jahren 1835 bis 1839	Helmuth Moltke	moltke_zustande_1841.txt	1841	https://www.deutschestextarchiv.de/book/show/moltke_zustaende_1841
Heinrich von Ofterdingen	Novalis	novalis_ofterdingen_1802.txt	1802	https://www.deutschestextarchiv.de/book/show/novalis_ofterdingen_1802
Lienhard und Gertrud. Bd. 3	Johann Heinrich Pestalozzi	pestalozzi_lienhard03_1875.txt	1785.0	https://www.deutschestextarchiv.de/book/show/pestalozzi_lienhard03_1785
Lienhard und Gertrud. Bd. 4	Johann Heinrich Pestalozzi	pestalozzi_lienhard04_1787.txt	1787	https://www.deutschestextarchiv.de/book/show/pestalozzi_lienhard04_1787
Der fliegende Mensch	Nicolas-Edme Rétif de La Bretonne	retif_mensch_1785.txt	1785.0	https://www.deutschestextarchiv.de/book/show/retif_mensch_1785
Fritz, der Mann wie er nicht seyn sollte oder die Folgen einer übeln Erziehung. Bd. 1	Johanna Isabella Eleonore von Wallenrodt	wallenrodt_fritz01_1800.txt	1800	https://www.deutschestextarchiv.de/book/show/wallenrodt_fritz01_1800
Fritz, der Mann wie er nicht seyn sollte oder die Folgen einer übeln Erziehung. Bd. 2	Johanna Isabella Eleonore von Wallenrodt	wallenrodt_fritz02_1800.txt	1800	https://www.deutschestextarchiv.de/book/show/wallenrodt_fritz02_1800
Neue Reise durch Italien	Friedrich Schulz	schulz_italien_1797.txt	1797.0	https://www.deutschestextarchiv.de/book/show/schulz_italien_1797
Reise eines Liefländers. Bd. 3	Friedrich Schulz	schulz_reise03_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/schulz_reise03_1795
Reise eines Liefländers. Bd. 1	Friedrich Schulz	schulz_reise0101_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/schulz_reise0101_1795
Reise eines Liefländers. Bd. 1. H2	Friedrich Schulz	schulz_reise0102_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/schulz_reise0102_1795
Reise eines Liefländers. Bd. 2. H3	Friedrich Schulz	schulz_reise0201_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/schulz_reise0201_1795
Reise eines Liefländers. Bd. 2. H4	Friedrich Schulz	schulz_reise0202_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/schulz_reise0202_1795
Spaziergang nach Syrakus im Jahre 1802	Johann Gottfried Seume	seume_syrakus_1802.txt	1802	https://www.deutschestextarchiv.de/book/show/schulz_reise03_1795
Amalie	Marianne Ehrmann	ehrmann_amalie.txt	1788	https://textgridrep.org/browse/mr1g.0
Die Honigmonathe	Caroline Auguste Fischer	fischer_honigmonathe.txt	1802	https://textgridrep.org/browse/mx7n.0
Soll und Haben	Gustav Freytag	freytag_soll.txt	1855	https://textgridrep.org/browse/n2kf.0
Wilhelm Meisters Wanderjahre	Johann Wolfgang von Goethe	goethe_wanderjahre.txt	1821	https://textgridrep.org/browse/11h9j.0
Gräfin Faustine	Ida Hahn-Hahn	hahn_faustine.txt	1841	https://textgridrep.org/browse/phvm.0
Hyperion	Friedrich Hölderlin	hoelderlin_hyperion_t1.txt	1797	https://www.deutschestextarchiv.de/book/show/hoelderlin_hyperion01_1797
Hyperion	Friedrich Hölderlin	hoelderlin_hyperion_t2.txt	1799	https://www.deutschestextarchiv.de/book/show/hoelderlin_hyperion02_1799
Lebensansichten des Katers Murr	Ernst Theodor Amadeus Hoffmann	hoffmann_murr_t1.txt	1819	https://textgridrep.org/browse/q5t3.0
Lebensansichten des Katers Murr	Ernst Theodor Amadeus Hoffmann	hoffmann_murr_t2.txt	1821	https://textgridrep.org/browse/q5t3.0
Hannah	Therese Huber	huber_hannah.txt	1821	OCR aus BSB; https://www.digitale-sammlungen.de/view/bsb10128422?page=1
Luise	Therese Huber	huber_louise.txt	1796	https://textgridrep.org/browse/qj5b.0
Die Familie Seldorf	Therese Huber	huber_seldorf.txt	1795	https://textgridrep.org/browse/qj5n.0
Die Epigonen	Karl Immermann	immermann_epigonen.txt	1836	https://textgridrep.org/browse/qkpz.0
Das Blüthenalter der Empfindung 	Sophie Mereau	mereau_bluethenalter.txt	1794	https://textgridrep.org/browse/scb5.0
Marie	Sophie Mereau	mereau_marie.txt	1796	https://www.projekt-gutenberg.org/brentans/marie/marie.html
Florentin	Dorothea Schlegel	schlegel_florentin.txt	1801	https://www.deutschestextarchiv.de/book/show/veitschlegel_florentin_1801
Gabriele	Johanna Schopenhauer	schopenhauer_gabriele.txt	1819	https://textgridrep.org/browse/vbjd.0
Der junge Tischlermeister	Ludwig Tieck	tieck_tischlermeister.txt	1836	https://textgridrep.org/browse/wdng.0
Bekenntnisse einer schönen Seele 	Friederike Helene Unger	unger_bekenntnisse.txt	1806	https://textgridrep.org/browse/wq99.0
