input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	eiskalt	108556.0	adj	Gefuehl	[fühllos, gefühllos, gefühlsarm, gefühlskalt]	0.55	0.2437	0.0	0.0	0.0	0.5277
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	eiskalt	4450.0	adj	Substanz	[kalt]	0.55	0.2437	0.0	0.0	0.0	0.52779
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	eiskalt	108556.0	adj	Gefuehl	[fühllos, gefühllos, gefühlsarm, gefühlskalt]	0.55	0.2437	0.18182	0.15814	0.31957	0.66329
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	eiskalt	4450.0	adj	Substanz	[kalt]	0.45	0.18381	0.0	0.0	0.0	0.50524
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	schrecklich	107140.0	adj	Gefuehl	[unangenehm]	0.55	0.2437	0.0	0.0	0.0	0.53896
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	schrecklich	805.0	adj	Gefuehl	[schlimm] , [beängstigend]	0.65	0.31699	0.36364	0.11579	0.25115	0.65476
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	schrecklich	107140.0	adj	Gefuehl	[unangenehm]	0.65	0.31699	0.36364	0.19127	0.39551	0.70768
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	schrecklich	805.0	adj	Gefuehl	[schlimm] , [beängstigend]	0.6	0.2783	0.33333	0.19127	0.39553	0.70769
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	begierig	1806.0	adj	Gefuehl	[Gefühl empfindend]	0.6	0.2783	0.0	0.0	0.0	0.53802
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	begierig	1806.0	adj	Gefuehl	[Gefühl empfindend]	0.6	0.2783	0.2	0.15814	0.32637	0.67361
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	gedankenvoll	548.0	adj	Verhalten	[charakterspezifisch]	0.8	0.47137	0.5	0.13271	0.27931	0.65757
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	gedankenvoll	549.0	adj	Gefuehl	[deprimiert, elegisch, melancholisch, schwermütig]	0.5	0.21239	0.0	0.0	0.0	0.41954
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	gedankenvoll	548.0	adj	Verhalten	[charakterspezifisch]	0.5	0.21239	0.0	0.0	0.0	0.50231
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	gedankenvoll	549.0	adj	Gefuehl	[deprimiert, elegisch, melancholisch, schwermütig]	0.5	0.21239	0.16667	0.15814	0.26225	0.55513
hold					b�s										
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	seltsam	367.0	adj	Allgemein	[sonderbar]	0.6	0.2783	0.2	0.07656	0.17937	0.64973
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	seltsam	650.0	adj	Gefuehl	[verwirrt]	0.55	0.2437	0.0	0.0	0.0	0.54728
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	seltsam	821.0	adj	Gefuehl	[Gefühl erweckend]	0.6	0.2783	0.0	0.0	0.0	0.5883
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	seltsam	367.0	adj	Allgemein	[sonderbar]	0.45	0.18381	0.0	0.0	0.0	0.55062
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	seltsam	650.0	adj	Gefuehl	[verwirrt]	0.55	0.2437	0.18182	0.15814	0.33273	0.68287
