input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	List	27559.0	nomen	Kognition	[Cleverness, Cleverneß, Gewitztheit, Schlauheit, Schläue]	0.62857	0.26356	0.23529	0.0797	0.19138	0.66327
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schleier	109780.0	nomen	natPhaenomen	[Nebel]	0.62857	0.26356	0.31579	0.07994	0.18884	0.65661
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schleier	75867.0	nomen	Artefakt	[Stofftuch, Tuch]	0.6	0.2443	0.125	0.02941	0.06947	0.60602
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schreck	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.85714	0.5	0.73684	0.20228	0.51056	0.80609
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Flamme	41151.0	nomen	natPhaenomen	[natürliches Phänomen]	0.74286	0.35745	0.4	0.07994	0.20153	0.68325
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Flamme	73666.0	nomen	Mensch	[Freund, Freundin]	0.48571	0.17834	0.1	0.02941	0.07373	0.63051
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schreck	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.85714	0.5	0.73684	0.20228	0.51056	0.80609
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Weib	34344.0	nomen	Mensch	[Frau]	0.54286	0.20938	0.11111	0.02941	0.07248	0.62363
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Gemach	10047.0	nomen	Artefakt	[Zimmer]	0.57143	0.22629	0.11765	0.02941	0.06438	0.57257
Mord	20741.0	nomen	Geschehen	[Bluttat]	Feind	34207.0	nomen	Mensch	[Gegner, Gegnerin, Kontrahent, Kontrahentin, Opponent, Opponentin]	0.42857	0.15041	0.0	0.0	0.0	0.59512
Mord					Erf�llung										
Mord					Gewi�heit										
Mord	20741.0	nomen	Geschehen	[Bluttat]	Wache	19834.0	nomen	Geschehen	[Dienst]	0.8	0.41972	0.58824	0.11482	0.26112	0.67509
Mord	20741.0	nomen	Geschehen	[Bluttat]	Wache	22642.0	nomen	Gruppe	[Sicherheitsdienst, Sicherheitstruppe]	0.48571	0.17834	0.0	0.0	0.0	0.55081
Mord	20741.0	nomen	Geschehen	[Bluttat]	Wache	37257.0	nomen	Mensch	[Dienstleister Sonstige]	0.37143	0.12502	0.0	0.0	0.0	0.58519
